"child_id","response_id","time","time_stamp","list","age","sex","lp","doe_catalan","doe_spanish","edu_parent"
"56860","1033",1,2020-06-14,"bvq-short",16.2628336755647,"male","Bilingual",0.45,0.45,"University"
"56876","1514",2,2020-11-25,"bvq-lockdown",21.5852156057495,"female","Bilingual",0.75,0.25,"University"
"56876","650",1,2020-04-06,"bvq-short",13.9301848049281,"female","Bilingual",0.75,0.22,"University"
"56889","1034",1,2020-06-03,"bvq-short",15.7043121149897,"male","Bilingual",0.6,0.3,"University"
"56911","1511",2,2020-11-14,"bvq-lockdown",20.9609856262834,"male","Monolingual",0.85,0.15,"University"
"56911","945",1,2020-05-16,"bvq-short",14.9815195071869,"male","Monolingual",0.8,0.2,"University"
"56934","1225",1,2020-06-05,"bvq-short",15.2772073921971,"male","Bilingual",0.3,0.7,"University"
"56937","1739",4,2021-10-03,"bvq-lockdown",31.1786447638604,"female","Monolingual",1,0,"University"
"56937","1662",3,2021-03-20,"bvq-lockdown",24.7063655030801,"female","Monolingual",0.9,0,"University"
"56937","1510",2,2020-11-14,"bvq-lockdown",20.5667351129363,"female","Monolingual",0.95,0,"University"
"56937","655",1,2020-04-06,"bvq-short",13.2731006160164,"female","Monolingual",1,0,"University"
"56945","1019",1,2020-05-19,"bvq-short",14.6858316221766,"male","Bilingual",0.5,0.5,"University"
"56958","972",1,2020-05-21,"bvq-short",14.5872689938398,"male","Monolingual",0.8,0.2,"University"
"56970","651",1,2020-03-31,"bvq-short",12.7802874743326,"male","Monolingual",1,0,"University"
"56984","1563",2,2020-12-11,"bvq-lockdown",21.0595482546201,"male","Bilingual",0.7,0.3,"Vocational"
"56984","967",1,2020-06-16,"bvq-short",15.211498973306,"male","Bilingual",0.7,0.3,"Vocational"
"56985","1524",2,2020-11-15,"bvq-lockdown",20.1724845995893,"female","Monolingual",0.2,0.8,"University"
"56985","663",1,2020-03-30,"bvq-short",12.6160164271047,"female","Monolingual",0.05,0.95,"University"
"56986","999",1,2020-05-26,"bvq-short",14.4887063655031,"female","Monolingual",0.2,0.8,"Vocational"
"56995","649",1,2020-07-06,"bvq-short",15.8028747433265,"male","Monolingual",1,0,"University"
"57001","1263",1,2020-07-01,"bvq-short",15.6386036960986,"male","Monolingual",0.2,0.8,"Vocational"
"57008","666",1,2020-04-12,"bvq-short",12.9445585215606,"female","Monolingual",0.8,0.2,"University"
"57016","1224",1,2020-06-04,"bvq-short",14.652977412731,"female","Bilingual",0.5,0.5,"University"
